Beverage Name,Type,Flavor Profile,Alcohol Content (ABV%),Acidity Level,Sweetness Level,Tannin Level,Serving Temperature,Snack Name,Cuisine Type,Snack Flavor Profile,Texture,Fat Content,Spice Level,Pairing Score
54,8,9,12.0,0,0,1,0,0,0,5,1,0,1,6
28,0,18,4.5,1,0,3,0,9,0,2,5,2,2,5
4,5,8,17.0,1,3,3,0,16,3,1,2,1,2,3
56,0,26,5.5,1,3,3,0,3,4,1,2,2,2,2
37,8,31,13.5,2,1,2,1,5,5,2,2,2,2,4
8,5,14,40.0,1,2,3,1,0,0,5,1,0,1,1
38,5,30,45.0,1,0,3,1,8,0,1,1,2,2,3
24,0,1,5.2,1,2,3,0,6,1,0,3,2,2,4
16,1,6,20.0,1,2,3,0,11,4,3,2,2,1,6
65,8,17,14.5,2,2,2,1,19,5,3,2,2,0,3
1,5,35,28.0,1,3,3,1,9,0,2,5,2,2,4
47,8,32,11.0,0,2,1,0,17,6,1,2,2,2,9
62,0,5,5.0,1,2,3,0,13,4,5,1,1,1,9
43,0,9,5.0,2,0,3,0,0,0,5,1,0,1,10
39,1,23,20.0,2,2,3,0,12,4,2,4,0,2,3
20,0,28,4.5,0,0,3,0,18,4,3,1,2,1,2
12,8,13,12.5,2,0,1,0,2,0,3,1,0,0,1
41,1,34,30.0,1,2,3,1,17,6,1,2,2,2,5
53,5,0,38.0,1,2,3,1,10,4,4,0,0,2,6
58,5,5,38.0,1,0,3,1,7,4,2,4,2,2,5
15,1,5,22.0,2,2,3,0,12,4,2,4,0,2,4
14,1,7,25.0,2,2,3,0,17,6,1,2,2,2,7
19,5,16,42.0,1,0,3,0,9,0,2,5,2,2,4
21,8,15,14.5,2,1,2,1,3,4,1,2,2,2,2
9,0,25,5.5,2,1,3,0,12,4,2,4,0,2,4
2,0,4,5.5,2,1,3,0,7,4,2,4,2,2,1
0,5,16,55.0,1,0,3,1,17,6,1,2,2,2,6
64,1,36,25.0,2,2,3,0,3,4,1,2,2,2,9
40,1,2,24.0,1,1,3,0,12,4,2,4,0,2,8
52,0,15,6.5,2,0,3,0,8,0,1,1,2,2,7
46,0,27,6.0,1,2,3,0,18,4,3,1,2,1,7
13,5,31,40.0,1,2,3,1,16,3,1,2,1,2,9
26,0,2,6.5,2,2,3,0,1,4,3,2,2,0,4
32,1,37,22.0,2,2,3,0,10,4,4,0,0,2,8
7,1,29,20.0,2,0,3,0,4,2,2,4,0,2,6
11,8,32,12.0,0,0,1,0,14,1,4,4,0,2,8
44,1,13,18.0,1,3,3,0,18,4,3,1,2,1,8
61,5,24,40.0,1,0,3,0,17,6,1,2,2,2,5
29,1,34,28.0,1,1,3,0,0,0,5,1,0,1,1
51,5,35,38.0,1,3,3,1,9,0,2,5,2,2,7
10,8,3,14.0,0,0,0,1,15,3,1,1,1,2,10
48,8,12,11.0,0,3,1,0,17,6,1,2,2,2,7
45,8,19,13.0,2,0,1,1,12,4,2,4,0,2,2
63,5,30,40.0,1,0,3,1,10,4,4,0,0,2,5
33,8,3,14.0,2,0,0,1,10,4,4,0,0,2,7
34,1,5,25.0,2,2,3,0,18,4,3,1,2,1,10
17,2,13,42.0,1,2,3,1,4,2,2,4,0,2,5
31,2,12,40.0,1,2,3,1,11,4,3,2,2,1,7
60,2,22,5.0,1,3,3,0,1,4,3,2,2,0,1
22,3,21,6.0,1,0,3,0,9,0,2,5,2,2,10
3,3,11,6.5,2,0,3,0,18,4,3,1,2,1,7
50,7,31,42.8,1,1,3,1,9,0,2,5,2,2,1
6,7,4,42.8,1,2,3,1,10,4,4,0,0,2,10
35,7,34,42.8,1,0,3,1,17,6,1,2,2,2,6
42,4,38,42.8,1,3,3,1,2,0,3,1,0,0,2
36,4,33,40.0,1,2,3,1,13,4,5,1,1,1,10
27,0,20,5.0,1,1,3,0,5,5,2,2,2,2,9
5,0,13,4.5,1,2,3,0,19,5,3,2,2,0,10
30,6,24,40.0,1,0,3,0,6,1,0,3,2,2,3
57,8,13,12.5,2,2,1,0,6,1,0,3,2,2,8
18,8,10,13.0,2,0,2,1,6,1,0,3,2,2,10
49,0,20,5.5,2,1,3,0,14,1,4,4,0,2,6
23,0,34,7.0,1,0,3,0,4,2,2,4,0,2,1
59,0,3,8.0,1,0,3,0,0,0,5,1,0,1,2
55,6,24,40.0,1,0,3,0,17,6,1,2,2,2,5
25,4,33,42.8,1,2,3,1,18,4,3,1,2,1,3
